group_reg,log10_group_reg,group,var_name,group_size,l2_norm_raw,l2_norm_normed,auc,acc,nnz
2.310129700083158e-06,-5.636363636363637,16,KSSLR6YR,1,0.09089474112428184,0.09089474112428184,0.7765275439105889,0.7751264948655721,58
5.336699231206313e-06,-5.2727272727272725,0,CATAG6,5,0.8986841205934497,0.4019037567893144,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,1,IRSEX,2,0.09387409003090237,0.06637900563856754,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,2,NEWRACE2,7,0.5532155804287858,0.20909583531725978,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,3,IRMARIT,4,0.3718204475813921,0.18591022379069605,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,4,IREDUHIGHST2,11,1.3195097860950613,0.3978471697890392,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,5,IRWRKSTAT18,4,0.22196044171522222,0.11098022085761111,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,6,IRINSUR4,2,0.2569975736709223,0.18172472709119847,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,7,INCOME,4,0.4706590015759035,0.23532950078795176,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,8,IRPYUD5ALC,2,0.7737677522000788,0.5471364246441478,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,9,IRPYUD5MRJ,2,0.43645973331977544,0.30862363714528535,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,10,ILLYR,2,0.5306905926031643,0.37525491674160494,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,11,IRAMDEYR,2,0.6814977388447792,0.4818916725004421,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,12,RSKCIGPKD,4,0.22864666307069398,0.11432333153534699,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,13,RSKMRJWK,4,0.14570118949729424,0.07285059474864712,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,14,IRALCFY,1,0.16766520787860362,0.16766520787860362,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,15,IRMJFY,1,0.09033204618063514,0.09033204618063514,0.7765724884264229,0.7751666349801075,58
5.336699231206313e-06,-5.2727272727272725,16,KSSLR6YR,1,0.09089992617002363,0.09089992617002363,0.7765724884264229,0.7751666349801075,58
